jenis_kelamin,berat_kg,tinggi_cm,lingkar_perut_cm,frekuensi_makan,sarapan,konsumsi_sayur_buah,konsumsi_daging,konsumsi_susu,fast_food,minuman_bersoda,nafsu_makan_rumah,nafsu_makan_sekolah,air_minum,lama_tidur,olahraga,aktivitas_fisik,BMI,status_gizi
1,49.2,160.0,65.0,4,1,1,1,1,2,1,0,0,2,1,2,2,19.218749999999996,Normal
0,41.4,154.0,69.0,3,0,1,2,1,1,1,0,0,1,1,1,1,17.45656940462135,Kurus
0,43.3,153.5,58.0,3,1,2,1,1,0,0,0,1,1,1,1,2,18.376852804804294,Kurus
1,61.5,165.0,75.0,4,1,1,2,1,1,1,0,0,1,1,1,2,22.589531680440775,Normal
0,36.0,136.0,57.0,3,1,1,1,1,1,0,0,0,0,0,0,0,19.4636678200692,Normal
1,49.2,162.0,66.0,3,1,1,1,1,1,0,0,0,1,1,1,2,18.747142203932324,Normal
0,46.8,146.0,78.0,3,1,2,1,1,1,1,0,1,1,1,1,2,21.955338712704073,Normal
0,47.8,154.1,62.0,3,1,2,1,2,1,1,0,0,1,1,2,2,20.129019434610374,Normal
0,53.0,157.8,60.0,3,0,2,2,0,1,1,0,1,1,0,1,1,21.28442253353702,Normal
0,44.5,146.0,69.0,3,1,2,1,2,2,2,0,1,0,1,1,2,20.876337023831866,Normal
0,46.0,150.2,60.0,3,1,1,1,1,1,0,0,0,2,1,1,1,20.390034769441904,Normal
1,60.0,172.0,76.0,3,1,2,1,1,1,1,0,0,1,1,2,2,20.281233098972418,Normal
0,47.4,152.0,62.0,2,1,1,1,1,1,1,0,0,1,1,0,1,20.515927977839336,Normal
1,59.0,172.0,78.0,4,1,2,1,2,0,1,0,0,2,1,1,2,19.94321254732288,Normal
0,38.5,143.0,59.0,3,1,1,2,1,2,1,0,1,1,1,1,1,18.827326519634216,Normal
1,50.5,170.0,69.0,3,1,1,1,1,1,1,0,1,1,1,1,1,17.474048442906575,Kurus
0,55.0,147.5,70.0,2,1,1,1,1,1,1,1,1,0,1,0,0,25.280091927607007,Gemuk
1,52.5,165.0,69.0,3,1,2,2,2,1,2,0,0,2,1,2,2,19.283746556473833,Normal
1,78.2,172.0,86.0,2,0,1,2,1,1,1,0,0,1,1,2,2,26.433207138994053,Gemuk
1,56.8,175.5,66.0,3,1,1,1,2,2,1,0,0,2,1,1,1,18.44140875479907,Kurus
1,56.0,173.0,65.0,4,1,1,1,2,1,2,0,0,1,1,2,2,18.710949246550168,Normal
0,58.6,161.0,87.0,3,1,1,1,1,1,1,0,0,1,1,0,2,22.607152501832488,Normal
0,59.0,157.0,79.0,3,1,1,1,1,2,1,0,1,1,1,0,1,23.93606231490121,Normal
1,60.9,172.0,75.0,3,1,1,1,1,1,1,0,0,1,1,0,1,20.585451595457005,Normal
1,83.0,175.9,82.0,2,1,2,1,2,1,1,0,1,1,1,1,2,26.82541278007912,Gemuk
0,71.5,156.0,86.0,2,1,1,1,2,2,1,0,0,2,1,0,1,29.380341880341877,Gemuk
0,43.0,158.7,62.0,2,1,1,1,2,2,1,0,0,1,1,1,1,17.073187194791963,Kurus
0,49.5,162.0,65.0,2,1,1,1,1,1,1,1,1,0,1,0,0,18.861454046639228,Normal
0,54.25,159.5,61.0,2,1,1,2,2,1,1,0,0,1,1,1,1,21.324475978026946,Normal
0,47.7,148.0,70.0,2,1,2,2,2,1,0,0,0,0,1,0,0,21.77684441197955,Normal
0,46.0,163.0,63.0,2,1,1,1,2,1,1,1,1,1,1,1,0,17.31341036546351,Kurus
0,45.0,152.0,61.0,3,1,1,1,1,1,2,0,0,0,1,1,1,19.47714681440443,Normal
